tag_id,tag,frequency,modelCount,wordCount,models,prompts,extraction_run_id
85ef1cd4-afd7-5cdf-9a38-86aba9477e15,excellent service,2597,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
309d3440-aca7-5a4c-bedf-3e386910a14e,delicious food,2489,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
a382319d-210a-522a-a7d1-28e1f27c4aae,friendly staff,2472,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
632e6107-b25a-5d86-9ae0-97c22e80434c,great service,1779,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
9b3b229b-4e21-5ed6-8ac6-7b90c932b53f,fast service,1271,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
1bd5e213-b9a9-512a-9043-ea53c696eaa5,friendly service,1220,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
c4d50f77-19ac-5bfd-83fc-3c5e228eec67,attentive service,1168,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
bdd0f94e-8a12-5494-acb0-271524aa6763,good service,1153,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
a2288ea3-f9cb-5276-aaae-3337a69bdf00,slow service,1149,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
ac2d3195-f35c-51d0-b15a-cf459b39f6ef,highly recommended,1085,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
3b5d69d4-d2d0-5bfb-a7e9-b78f3734df1f,attentive staff,944,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
9e66310e-0c53-5ce3-ac3b-57d3a615f68b,great food,925,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
eebf661f-bfac-50ca-93e9-007736b5789f,good food,870,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
de786a43-df5d-5328-afd6-26f2d73ce4f9,outdoor seating,776,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
cb2bfaeb-0b05-53fc-a0fd-8beb26486626,great atmosphere,707,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
7747b5b3-e803-5849-b5b4-da2832d94a1d,cozy atmosphere,682,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
c3ec7aab-d958-51bd-ad2b-8a69ecf6f14c,quick service,610,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
6d942ba6-0d32-5a30-b30b-8c9ccb053c56,small portions,609,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
f596ce63-4780-5e70-a9ea-515264a2efb6,reasonable prices,599,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
d72efa26-5752-5a79-92c1-2120dd9c9aaf,fresh ingredients,568,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
87bf8cd1-f674-530a-8886-e766ba7c3262,amazing food,506,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
aec9ed46-1c5e-56cd-afdd-04495ab922c5,helpful staff,497,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
4ad3fd48-0d94-550d-83b5-1811fa71953f,generous portions,490,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
83dee31d-88e0-520e-8f87-01a40f8c07cb,great drinks,488,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
7b63ca52-9b1a-57e3-a8ac-4fd5cea98660,poor service,482,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
f533c366-61f4-5ec2-b04d-ff5bfe278c65,expensive,460,4,1,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
75346e48-56cc-5092-958f-8b34f3807df9,high prices,454,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
a7e3734e-3115-5025-9216-996d0fc6cbc5,pleasant atmosphere,454,4,2,"claude,gemini,grok,openai","anti_hallucination,minimal,short_phrase",week2_run_20251223_191104
